states	PB2	PA	HA	NP	NA	MP	NS
33460000	2	5	3	5	2	2	3
33480000	2	6	3	5	2	2	4
33500000	3	5	4	5	2	2	4
33520000	2	5	3	7	2	2	3
33540000	3	5	3	5	2	2	4
33560000	2	4	4	7	2	2	4
33580000	3	6	4	7	2	2	4
33600000	2	5	3	5	2	2	4
33620000	3	5	3	6	2	2	6
33640000	2	5	3	5	2	2	4
33660000	2	5	3	6	2	2	3
33680000	2	5	3	5	2	2	5
33700000	2	5	3	5	2	2	3
33720000	2	5	3	5	2	2	5
33740000	2	5	3	5	2	2	5
33760000	2	5	3	5	3	2	5
33780000	2	5	4	6	2	2	5
33800000	2	6	4	5	2	2	3
33820000	2	5	4	6	2	2	4
33840000	3	6	4	5	2	2	5
33860000	2	7	3	5	2	2	5
33880000	2	4	3	5	2	2	5
33900000	2	6	4	5	3	2	5
33920000	2	6	4	5	2	2	4
33940000	2	5	3	5	2	2	4
33960000	2	5	3	5	2	2	4
33980000	3	5	5	5	2	2	4
34000000	3	5	3	5	2	2	4
34020000	2	6	4	5	3	2	4
34040000	2	5	3	5	2	2	5
34060000	3	5	4	5	2	2	4
34080000	2	5	3	5	2	2	4
34100000	3	5	3	6	2	3	3
34120000	3	5	4	5	2	2	5
34140000	2	5	3	7	2	2	5
34160000	2	5	3	5	2	2	4
34180000	2	5	4	5	2	2	6
34200000	2	5	3	5	2	2	5
34220000	2	5	3	5	2	2	3
34240000	2	5	3	5	2	2	4
34260000	2	5	3	5	2	2	5
34280000	2	6	3	5	2	2	4
34300000	2	5	3	5	2	2	4
34320000	2	5	3	5	2	2	4
34340000	3	5	3	5	2	2	4
34360000	2	5	4	6	2	2	4
34380000	2	5	3	5	2	2	4
34400000	3	5	4	5	3	2	4
34420000	2	6	3	5	2	2	4
34440000	3	5	4	5	2	4	4
34460000	2	6	3	5	2	2	4
34480000	2	5	3	5	2	2	5
34500000	2	5	3	5	2	2	5
34520000	2	5	3	5	2	2	4
34540000	2	5	3	5	2	2	4
34560000	2	5	4	5	2	2	6
34580000	2	5	3	7	2	2	4
34600000	2	5	3	5	2	2	5
34620000	2	5	5	5	2	2	6
34640000	2	4	4	5	2	2	4
34660000	2	5	3	5	2	2	4
34680000	2	5	3	7	2	2	6
34700000	2	5	3	5	2	2	5
34720000	2	7	3	5	2	2	4
34740000	2	5	4	5	2	2	3
34760000	2	5	3	5	2	2	4
34780000	2	6	3	5	2	2	4
34800000	2	5	3	7	2	2	5
34820000	2	5	4	5	2	2	5
34840000	2	5	3	5	2	2	5
34860000	2	4	4	5	2	2	4
34880000	2	5	3	5	2	2	5
34900000	2	5	3	5	2	2	4
34920000	2	8	3	5	2	2	5
34940000	2	5	3	5	2	2	4
34960000	2	5	4	5	2	2	6
34980000	2	4	3	5	2	2	5
35000000	2	5	3	5	2	2	4
35020000	3	5	3	5	2	2	4
35040000	2	5	4	5	2	4	3
35060000	2	5	3	5	2	2	4
35080000	2	6	3	5	2	2	3
35100000	2	5	3	6	2	2	5
35120000	3	5	3	5	2	2	4
35140000	2	4	3	5	2	2	4
35160000	2	5	4	5	3	2	5
35180000	2	5	4	5	2	2	5
35200000	2	4	3	5	2	2	4
35220000	2	5	3	5	2	2	4
35240000	2	4	4	5	2	2	5
35260000	2	5	3	5	2	2	4
35280000	3	6	4	5	2	2	4
35300000	3	6	3	5	2	2	4
35320000	2	5	3	5	2	2	3
